[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserGroupMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserMapper.class]
[DEBUG][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Identified candidate component class: file [C:\Users\chen\IdeaProjects\dtsh\target\classes\com\fdzc\springboot01\mapper\UserTaskMapper.class]
[WARN][06-05 16:20:30,847][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'adminMapper' and 'com.fdzc.springboot01.mapper.AdminMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'buyMapper' and 'com.fdzc.springboot01.mapper.BuyMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'chatMapper' and 'com.fdzc.springboot01.mapper.ChatMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'goodsMapper' and 'com.fdzc.springboot01.mapper.GoodsMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'groupMapper' and 'com.fdzc.springboot01.mapper.GroupMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'shareMapper' and 'com.fdzc.springboot01.mapper.ShareMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'taskMapper' and 'com.fdzc.springboot01.mapper.TaskMapper' mapperInterface. Bean already defined with the same name!
[WARN][06-05 16:20:30,863][org.mybatis.spring.mapper.ClassPathMapperScanner]Skipping MapperFactoryBean with name 'travelMapper' and 'com.fdzc.springboot01.mapper.TravelMapper' mapperInterface. Bean already defined with the same name!
